Date,IDStation,NameStation,Ammonia,Arsenic,Benzene,Benzo_a_pyrene,BlackCarbon,Cadmium,CO,Lead,Nikel,NO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide
2018-01-23T00:00:00Z,677,Cremona Via Fatebenefratelli,5,NA,NA,NA,NA,NA,0.65,NA,NA,NA,57.35,174.39583333333334,5.241666666666666,65,NA,5.5375
2018-01-23T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,4.8,NA,7.4,NA,NA,NA,NA,NA,65,220.74583333333334,5.508333333333333,67,53,5.429166666666666
2018-01-23T00:00:00Z,681,Moggio,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.675,1.1166666666666667,72.57916666666667,11,10,NA
2018-01-23T00:00:00Z,642,Pavia Via Folperti,3.8,NA,1.4,NA,NA,NA,NA,NA,NA,NA,48.47083333333333,107.44583333333333,5.745833333333334,64,49,8.058333333333334
2018-01-23T00:00:00Z,693,Sannazzaro De Burgondi Agip,16.7,NA,1.7,NA,NA,NA,NA,NA,NA,NA,42.09583333333333,76.32083333333333,NA,66,56,6.1
2018-01-23T00:00:00Z,703,Schivenoglia,33.5,NA,0.9,NA,NA,NA,0.7875,NA,NA,NA,30.266666666666666,67.47083333333333,15.483333333333334,51,39,2.466666666666667
2018-01-24T00:00:00Z,677,Cremona Via Fatebenefratelli,5.8,NA,NA,NA,NA,NA,0.65,NA,NA,NA,57.05,149.20416666666665,10.091666666666667,68,55,2.9125
2018-01-24T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3,NA,4.6,NA,NA,NA,NA,NA,53.1375,107.04166666666667,8.708333333333334,62,51,4.004166666666666
2018-01-24T00:00:00Z,681,Moggio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2,38,31,NA
2018-01-24T00:00:00Z,642,Pavia Via Folperti,5.2,NA,1.3,NA,NA,NA,NA,NA,NA,NA,60.38333333333333,123.42916666666667,8.2625,70,53,8.266666666666667
2018-01-24T00:00:00Z,693,Sannazzaro De Burgondi Agip,19.4,NA,1.4,NA,NA,NA,NA,NA,NA,NA,46.67916666666667,72.90416666666667,NA,67,56,6.333333333333333
2018-01-24T00:00:00Z,703,Schivenoglia,NA,NA,1,NA,NA,NA,0.8,NA,NA,NA,37.4125,55.391666666666666,13.529166666666667,62,44,0.6375
2018-01-25T00:00:00Z,677,Cremona Via Fatebenefratelli,4.4,NA,NA,NA,NA,NA,0.6541666666666667,NA,NA,NA,60.975,153.05833333333334,1.7583333333333333,83,70,3.3249999999999997
